id,number,name,description,numCredits,numCredits,numCredits
2606,C I 615D,Seminar: Secondary Education,Selected topics in curriculum and instruction; an analysis of research potential; evaluation of impact upon the profession; implications for additional research.,,1,1
2607,C I 615F,Seminar: Multicultural Education,Selected topics in curriculum and instruction; an analysis of research potential; evaluation of impact upon the profession; implications for additional research.,,1,1
2608,C I 615G,Seminar: Mathematics Education,Selected topics in curriculum and instruction; an analysis of research potential; evaluation of impact upon the profession; implications for additional research.,,1,1
2609,C I 615I,Seminar: Elementary Education,Selected topics in curriculum and instruction; an analysis of research potential; evaluation of impact upon the profession; implications for additional research.,,1,1
2610,C I 615J,Seminar: World Language Education,Selected topics in curriculum and instruction; an analysis of research potential; evaluation of impact upon the profession; implications for additional research.,,1,1
2611,C I 615K,Seminar: Educational Psychology,Selected topics in curriculum and instruction; an analysis of research potential; evaluation of impact upon the profession; implications for additional research.,,1,1
2612,C I 615L,Seminar: Social Studies Education,Selected topics in curriculum and instruction; an analysis of research potential; evaluation of impact upon the profession; implications for additional research.,,1,1
2613,C I 615M,Seminar: Literacy Education,Selected topics in curriculum and instruction; an analysis of research potential; evaluation of impact upon the profession; implications for additional research.,,1,1
2614,C I 690,Advanced Special Topics,,,arr,arr
2615,C I 690A,Advanced Special Topics: Curriculum,,,arr,arr
2616,C I 690B,Advanced Special Topics: Digital Learning,,,arr,arr
2617,C I 690C,Advanced Special Topics: Science Education,,,arr,arr
2618,C I 690D,Advanced Special Topics: Secondary Education,,,arr,arr
2619,C I 690F,Advanced Special Topics: Multicultural Education,,,arr,arr
2620,C I 690G,Advanced Special Topics: Mathematics Education,,,arr,arr
2621,C I 690I,Advanced Special Topics: Elementary Education,,,arr,arr
2622,C I 690J,Advanced Special Topics: World Language Education,,,arr,arr
2623,C I 690K,Advanced Special Topics: Educational Psychology,,,arr,arr
2624,C I 690L,Advanced Special Topics: Social Studies Education,,,arr,arr
2625,C I 690M,Advanced Special Topics: Literacy Education,,,arr,arr
2626,C I 699,Research,,,arr,arr
2627,C I 699A,Research: Curriculum,,,arr,arr
2628,C I 699B,Research: Digital Learning,,,arr,arr
2629,C I 699C,Research: Science Education,,,arr,arr
2630,C I 699D,Research: Secondary Education,,,arr,arr
2631,C I 699F,Research: Multicultural Education,,,arr,arr
2632,C I 699G,Research: Mathematics Education,,,arr,arr
2633,C I 699I,Research: Elementary Education,,,arr,arr
2634,C I 699J,Research: World Language Education,,,arr,arr
2635,C I 699K,Research: Educational Psychology,,,arr,arr
2636,C I 699L,Research: Social Studies Education,,,arr,arr
2637,C I 699M,Research: Literacy Education,,,arr,arr
2638,DANCE 120,Modern Dance I,"Introduction and practice of basic dance concepts, including preparatory techniques and guided creativity problems. No previous modern dance experience required.   Offered on a satisfactory-fail basis only.",,1,1
2639,DANCE 130,Ballet I,"Introduction to the basic skills, vocabulary, and tradition of ballet with concentration on control and proper alignment. No previous ballet experience required.   Offered on a satisfactory-fail basis only.",,1,1
2640,DANCE 140,Jazz I,Introduction to the modern jazz style with concentration on isolation and syncopation. No previous jazz experience required.   Offered on a satisfactory-fail basis only.,,1,1
2641,DANCE 150,Tap Dance I,Instruction and practice in basic tap technique and terminology. No previous tap experience required.   Offered on a satisfactory-fail basis only.,,1,1
2642,DANCE 160,Ballroom Dance I,"Instruction and practice in foxtrot, waltz, swing, cha cha, rhumba, tango, and selected contemporary dances.   Offered on a satisfactory-fail basis only.",,1,1
2643,DANCE 199,Dance Continuum,"Advance registration required. Continued instruction and practice in either modern dance, recreational dance, ballet, jazz and/or compositional skills.   Offered on a satisfactory-fail basis only.",,42492,2-May
2644,DANCE 211,Fundamentals and Methods of Social and World Dance,"Skill enhancement, teaching, progressions with emphasis on world and social dance. Designed for kinesiology and health majors, open to others.",,1,1
2645,DANCE 220,Modern Dance Composition,Theory and practice of the creative skills involved in solo and small group composition.,,2,2
2646,DANCE 222,Modern Dance II,"Dance techniques emphasizing strength, balance, endurance, rhythmic activity and extended combinations.",,1,1
2647,DANCE 223,Modern Dance III,Continued experience in dance techniques and extended combinations. Emphasis on maturation of skill and artistry. Exposure to a variety of modern dance technical styles.,,1,1
2648,DANCE 224,Concert and Theatre Dance,"Choreography, rehearsal, and performance in campus dance concerts and/or musical theatre productions.   Offered on a satisfactory-fail basis only.",,42492,2-May
2649,DANCE 232,Ballet II,"Technical skills in the classical movement vocabulary. Emphasis on alignment, techniques, sequence development, and performing quality.",,1,1
2650,DANCE 233,Ballet III,Concentration on technical proficiency at the intermediate level. Pointe work and partnering opportunities available.,,1,1
2651,DANCE 242,Jazz II,Dance concepts within the jazz idiom. Instruction in extended movement sequences and artistic interpretation.,,1,1
2652,DANCE 270,Dance Appreciation,Introduction to the many forms and functions of dance in world cultures. Develop abilities to distinguish and analyze various dance styles. No dance experience required.,,3,3
2653,DANCE 320,Sound and Movement,"Intermediate composition based on the relationship of movement to improvised sounds, rhythmic scores, and the musical works of composers from various periods.",,3,3
