id,number,name,description,prereqs,numCredits,departmentID
644,"A ECL 520","Fisheries Science","Concepts, approaches, and techniques for assessment of recreational and commercial fisheries. Scope will range from individual fish to entire ecosystems, both freshwater and marine.","A ECL 312, A ECL 321",3,11
645,"A ECL 523I","Fish Ecology","Basic principles of fish interaction with the biotic and abiotic environment. Field methods, taxonomy, and biology of fish with emphasis on the fish fauna of northwestern Iowa.",,4,11
646,"A ECL 525","Aquatic Insects","Morphology, ecology, diversity, and significance of aquatic insects, with emphasis on the collection, curation and identification of taxa in local streams and lakes.","BIOL 312 or equivalent",3,11
647,"A ECL 526I","Advanced Field Ornithology","Field study of birds of the upper Midwest; extended field trip to Minnesota and Wisconsin; individual or group project.","Concurrent registration in IA LL 326I",2,11
648,"A ECL 531","Conservation Biology","Examination of conservation issues from a population and a community perspective. Population-level analysis will focus on the role of genetics, demography, and environment in determining population viability. Community perspectives will focus on topics such as habitat fragmentation, reserve design, biodiversity assessment, and restoration ecology.","BIOL 312; BIOL 313 or graduate standing",3,11
649,"A ECL 531I","Conservation Biology","Population-and community-level examination of factors influencing the viability of plant and animal populations from both demographic and genetic perspectives; assessment of biodiversity; design and management of preserves.","IA LL 312I",4,11
650,"A ECL 535I","Restoration Ecology","Ecological principles for the restoration of native ecosystems; establishment (site preparation, selection of seed   mixes, planting techniques) and management (fire, mowing, weed control) of native vegetation; evaluation of restorations. Emphasis on the restoration of prairie and wetland vegetation.","A course in ecology",4,11
651,"A ECL 540","Fishery Management","Biological basis of fishery management, fishery problems, and management practices for freshwater, anadromous, and marine fisheries.","A ECL 312, A ECL 321, STAT 101 or STAT 104; credit or enrollment in A ECL 486",3,11
652,"A ECL 542",Aquaculture,"Concepts related to the culture of aquatic organisms including culture systems, water quality, nutrition, genetics, diseases, and marketing.","BIOL 211 and BIOL 212.",3,11
653,"A ECL 551","Behavioral Ecology","The study of how an animal's behavior affects its ability to survive and reproduce in its environment. Course topics, such as foraging behavior, sexual selection, parental care, etc., represent the interface of ecology, evolution, and behavior.","a course in ecology or animal behavior",3,11
654,"A ECL 554","Principles of Wildlife Disease","Ecological and epidemiological aspects of disease as they relate to wildlife populations. Topics to be covered include: major classes of disease; detection, description, monitoring, and management of disease; characteristics and interactions between disease agents and wildlife hosts; relationship among wildlife, domestic animal, and human health.","Graduate classification",3,11
655,"A ECL 570","Landscape Ecology","The study of ecological and evolutionary processes within a spatial context with emphasis on behavior, population, and community dynamics.","Permission of instructor; EEOB 588; a course in calculus",3,11
656,"A ECL 573","Techniques for Biology Teaching","The development and implementation of laboratory exercises suitable for inclusion in elementary, middle, high school, and community college biology and environmental courses. Exercises will be built around common organisms and ecosystems in Iowa. Field trips.",,1-2,11
657,"A ECL 573A","Techniques for Biology Teaching : Animal Biology","The development and implementation of laboratory exercises suitable for inclusion in elementary, middle, high school, and community college biology and environmental courses. Exercises will be built around common organisms and ecosystems in Iowa. Field trips.",,1-2,11
658,"A ECL 573G","Techniques for Biology Teaching: Limnology","The development and implementation of laboratory exercises suitable for inclusion in elementary, middle, high school, and community college biology and environmental courses. Exercises will be built around common organisms and ecosystems in Iowa. Field trips.",,1-2,11
659,"A ECL 573H","Animal Behavior (Same as Ia LL 573H)","The development and implementation of laboratory exercises suitable for inclusion in elementary, middle, high school, and community college biology and environmental courses. Exercises will be built around common organisms and ecosystems in Iowa. Field trips.",,1-2,11
660,"A ECL 573I","Techniques for Biology Teaching: Insect Ecology","The development and implementation of laboratory exercises suitable for inclusion in elementary, middle, high school, and community college biology and environmental courses. Exercises will be built around common organisms and ecosystems in Iowa. Field trips.",,1-2,11
661,"A ECL 573W","Techniques for Biology Teaching: Project WET","The development and implementation of laboratory exercises suitable for inclusion in elementary, middle, high school, and community college biology and environmental courses. Exercises will be built around common organisms and ecosystems in Iowa. Field trips.",,1-2,11
662,"A ECL 589","Population Ecology","Concepts and theories of population dynamics with emphasis on models of growth, predation, competition, and regulation.","BIOL 312, STAT 101 or STAT 104, a course in calculus, or graduate standing",3,11
663,"A ECL 590","Graduate Independent Study",,"Graduate classification and permission of instructor",1-4,11
664,"A ECL 590I","Special Topics: Graduate Independent Study",,"Graduate classification and permission of instructor",1-4,11
